action_counts,buy_fills,fill_opportunity_quantity,fill_ratio,fills,final_inventory,gross_spread_capture_pnl,liquidation_cost_pnl,mark_to_market_pnl,max_abs_inventory,mean_abs_inventory,negative_markout_loss,negative_markout_quantity,net_pnl,policy,post_fill_markout_pnl,quote_opportunities,regime,seed,sell_fills,steps,strategy,total_reward,transaction_cost_pnl
,64,256,0.47265625,121,7,242.0,14.14,423.5799999998417,15,5.903333333333333,69.0,43,409.4399999998417,fixed_spread,62.0,186,volatile_low_cost,100023,57,300,fixed_spread,409.4399999998417,2.4200000000000017
,38,178,0.41011236,73,3,169.0,6.0600000000000005,3.5399999999681313,5,2.066666666666667,43.0,24,-2.520000000031869,inventory_aware,14.0,132,volatile_low_cost,100023,35,300,inventory_aware,-2.520000000031869,1.4600000000000009
,47,211,0.41706161,88,6,202.0,12.120000000000001,90.23999999994703,8,2.3866666666666667,55.0,33,78.11999999994703,avellaneda_stoikov,13.0,153,volatile_low_cost,100023,41,300,avellaneda_stoikov,78.11999999994703,1.7600000000000011
,28,130,0.42307692,55,1,132.0,2.02,-80.10000000002401,5,1.43,32.0,22,-82.120000000024,bayesian_toxicity,12.0,94,volatile_low_cost,100023,27,300,bayesian_toxicity,-82.120000000024,1.1000000000000005
,64,243,0.5308642,129,-1,258.0,2.15,2.6499999999778083,11,3.6033333333333335,81.0,46,0.4999999999778084,fixed_spread,52.0,183,volatile_high_cost,100024,65,300,fixed_spread,0.4999999999778084,19.35
,49,198,0.5,99,-1,218.0,2.15,71.15000000002874,4,1.29,61.0,37,69.00000000002873,inventory_aware,47.0,152,volatile_high_cost,100024,50,300,inventory_aware,69.00000000002873,14.85000000000002
,49,200,0.495,99,-1,213.0,2.15,66.15000000002874,4,1.29,65.0,37,64.00000000002873,avellaneda_stoikov,42.0,153,volatile_high_cost,100024,50,300,avellaneda_stoikov,64.00000000002873,14.85000000000002
,37,150,0.49333333,74,0,186.0,0.0,140.90000000001237,4,0.9133333333333333,35.0,21,140.90000000001237,bayesian_toxicity,58.0,115,volatile_high_cost,100024,37,300,bayesian_toxicity,140.90000000001237,11.10000000000001
,51,187,0.49197861,92,10,184.0,20.2,246.15999999993073,20,8.083333333333334,8.0,8,225.95999999993074,fixed_spread,142.0,139,calm_low_cost,100025,41,300,fixed_spread,225.95999999993074,1.8400000000000012
,33,142,0.46478873,66,0,148.0,0.0,77.67999999997846,5,2.203333333333333,5.0,5,77.67999999997846,inventory_aware,116.0,105,calm_low_cost,100025,33,300,inventory_aware,77.67999999997846,1.3200000000000007
,41,155,0.51612903,80,2,188.0,4.04,160.39999999993597,13,4.213333333333333,7.0,7,156.35999999993598,avellaneda_stoikov,149.0,116,calm_low_cost,100025,39,300,avellaneda_stoikov,156.35999999993598,1.600000000000001
,36,140,0.50714286,71,1,162.0,2.02,124.579999999969,4,1.3933333333333333,7.0,5,122.55999999996901,bayesian_toxicity,129.0,104,calm_low_cost,100025,35,300,bayesian_toxicity,122.55999999996901,1.4200000000000008
,48,193,0.45595855,88,8,176.0,17.2,111.7999999999738,11,3.5566666666666666,6.0,6,94.5999999999738,fixed_spread,118.0,140,calm_high_cost,100026,40,300,fixed_spread,94.5999999999738,13.200000000000017
,33,148,0.43918919,65,1,150.0,2.15,101.25000000000182,4,1.9466666666666668,6.0,6,99.10000000000181,inventory_aware,99.0,108,calm_high_cost,100026,32,300,inventory_aware,99.10000000000181,9.750000000000007
